customer_id,customer_name,customer_email,address,total_customer_balance
57,Zoombox,vlambis1k@bing.com,83.17.88.173,2718933
58,Buzzdog,jgyrgorcewicx1l@dion.ne.jp,230.61.150.13,5328259
59,Pixope,bstanfield1m@oracle.com,131.148.173.112,2430733
60,Photobug,owheadon1n@zimbio.com,224.121.121.43,3483724
61,Shufflester,spickle1o@storify.com,117.141.54.138,1618037
62,Babbleblab,nzellner1p@hostgator.com,188.98.148.250,2367543
63,Brainsphere,rtillman1q@statcounter.com,162.32.231.89,3819265
64,Brightbean,ckilloran1r@goo.gl,94.18.241.135,134349
65,Brainbox,asatterlee1s@senate.gov,233.154.15.16,3663142
66,Leexo,aburge1t@51.la,172.95.81.104,2045295
67,Gabtype,cmacey1u@godaddy.com,22.62.36.254,2338752
68,Pixoboo,amaple1v@elegantthemes.com,75.13.77.196,2541086
69,Devshare,acisco1w@github.com,226.46.59.78,1939497
70,Lajo,vmacharg1x@theguardian.com,127.11.138.251,2452564
71,Quimm,gmaulin1y@bbc.co.uk,109.188.35.184,1706072
72,Podcat,lnendick1z@ca.gov,235.152.44.61,2435569
73,Mynte,ctomasik20@wordpress.org,183.115.237.220,1324649
74,Roomm,nmowles21@answers.com,125.121.253.113,3624822
75,Zazio,sgallehock22@wordpress.org,94.136.106.225,1901763
76,Camido,lpearce23@symantec.com,63.252.21.169,1376464
77,Blogspan,korrum24@free.fr,183.163.158.102,3438529
78,Browsedrive,djickles25@deliciousdays.com,89.10.175.95,867998
79,Zoomdog,mmcarley26@jimdo.com,9.205.75.53,562922
80,Aivee,dshilvock27@github.io,187.209.249.176,3263576
81,Dabvine,lloftus28@columbia.edu,33.167.234.10,746407
82,Jabbertype,pwabersinke29@wsj.com,117.20.41.106,2736431
83,Innotype,qfretson2a@accuweather.com,29.26.224.60,1830841
84,Browsedrive,chorsefield2b@netlog.com,129.3.98.144,857207
85,Devpoint,rgodmer2c@t.co,188.216.103.176,1825209
86,Skibox,aedelmann2d@marriott.com,158.35.57.81,1698078
87,Topicstorm,ciddison2e@washingtonpost.com,183.79.134.104,2974823
88,Flashset,clowman2f@stumbleupon.com,171.14.49.105,4435100
89,Wordtune,eormshaw2g@csmonitor.com,180.44.124.137,2981304
90,Thoughtworks,cjeenes2h@diigo.com,181.202.165.109,843703
91,Gabcube,rwatchorn2i@printfriendly.com,30.248.160.181,139799
92,Kazu,apeasnone2j@phpbb.com,225.162.177.118,1401901
93,Jabberstorm,rglennon2k@earthlink.net,176.150.60.222,650577
94,Eayo,kwardale2l@mit.edu,7.186.245.40,924335
95,Miboo,gdrissell2m@ifeng.com,177.76.29.19,1715877
96,Yoveo,cbullers2n@privacy.gov.au,60.207.51.226,1834738
97,Yodoo,dpinks2o@51.la,194.213.195.111,1744815
98,LiveZ,kguyver2p@google.cn,209.125.77.18,3538609
99,Yadel,kliffey2q@huffingtonpost.com,68.73.57.78,1977997
100,Skyba,mbrandes2r@constantcontact.com,179.235.35.124,1920308
101,Topicstorm,gdavydzenko2s@discovery.com,90.27.141.178,1901241
102,Kimia,udaulby2t@simplemachines.org,156.216.8.59,2592981
103,JumpXS,rbeel2u@slideshare.net,186.176.89.237,4119811
104,Yoveo,gwattinham2v@hhs.gov,239.163.47.213,1387011
105,Yodoo,lmanz2w@google.pl,156.135.250.17,2884304
106,Youfeed,tdanielou2x@redcross.org,44.195.209.103,1620019
107,Voonder,mleveret2y@about.com,122.173.38.48,573337
108,Jabberstorm,aattle2z@twitter.com,21.75.89.224,2604259
109,Skalith,epoxon30@elegantthemes.com,23.240.193.94,969369
110,Mynte,lewenson31@techcrunch.com,6.123.229.136,2098813
111,Voonix,nhexter32@storify.com,75.76.37.42,3097459
112,Meezzy,caimson33@cafepress.com,89.148.225.24,1963836
113,Einti,dkesper34@hao123.com,158.234.196.12,3179581
114,Fatz,rstutter35@rambler.ru,230.0.139.134,4469992
115,Meembee,hmenhci36@boston.com,158.215.76.251,2452225
116,Realmix,estiller37@cam.ac.uk,210.77.246.70,741886
117,Mita,smoan38@ezinearticles.com,4.46.44.40,3238142
118,Einti,jrozycki39@github.io,179.8.194.223,3080664
119,Pixope,cbalshen3a@ebay.co.uk,246.33.228.4,3462595
120,Skimia,erevitt3b@hatena.ne.jp,14.164.89.96,689680
121,Quinu,tmcgann3c@dagondesign.com,95.114.148.179,3526833
122,Trilith,rvanyutin3d@opera.com,12.198.180.30,3799353
123,Yambee,mferrillio3e@epa.gov,67.213.102.10,3414684
124,Twinte,mcoste3f@sbwire.com,169.101.109.123,5170237
125,Rhynyx,wroan3g@comsenz.com,82.156.32.43,1869997
126,Devpulse,sriley3h@xrea.com,249.210.43.105,1785732
127,Shufflester,gosment3i@flickr.com,10.147.47.202,2551245
128,Thoughtblab,ijolliman3j@businesswire.com,172.165.89.3,2337458
129,Agivu,tcrebo3k@yahoo.co.jp,6.111.28.100,958574
130,Twitterlist,sdudenie3l@sciencedirect.com,154.207.56.60,3656650
131,Ooba,hgary3m@nps.gov,11.5.235.225,3318108
132,Youspan,vyuryev3n@webs.com,231.114.14.0,4109317
133,Tazzy,aamar3o@google.com.hk,237.19.110.213,1010181
134,Devify,whames3p@meetup.com,1.4.69.77,2893564
135,Voonix,vmcginny3q@army.mil,22.123.198.103,1661801
136,Eimbee,dwoodington3r@ifeng.com,47.248.168.93,2172717
137,Yoveo,hgolby3s@dropbox.com,167.190.168.85,4892900
138,Oyoloo,tdurbin3t@sohu.com,9.74.213.66,676897
139,Yabox,jjessep3u@edublogs.org,103.85.2.88,4801285
140,Centidel,ktue3v@biblegateway.com,153.54.20.213,3853562
141,Yakijo,gtrimby3w@blogger.com,218.11.166.50,3900228
142,Twinte,mwinton3x@opera.com,70.213.180.80,3464233
143,Kamba,cgarnall3y@360.cn,116.134.71.5,2998610
144,Ooba,dmatuska3z@google.co.uk,26.52.244.132,5236586
145,Blognation,bwidger40@moonfruit.com,13.254.35.96,2226419
146,Wordtune,srodson41@independent.co.uk,139.204.125.146,2660421
147,Kazu,wkemmish42@google.com.hk,252.37.49.201,388148
148,Mybuzz,bvotier43@i2i.jp,205.227.35.22,2037627
149,Tagfeed,abrakespear44@va.gov,36.234.8.100,1490306
150,Plambee,jhannah45@independent.co.uk,207.249.247.244,2119607
151,Mynte,mellcome46@51.la,181.116.177.86,580980
152,Yodoo,rgrono47@ask.com,250.243.73.218,2986419
153,Divanoodle,afoux48@php.net,4.183.253.155,3237278
154,Zoozzy,kbriggdale49@wired.com,98.228.67.244,3343821
155,Rhynoodle,ramis4a@hc360.com,190.172.17.122,1704229
156,Rooxo,msharland4b@soup.io,171.245.48.185,2826362
157,Wordpedia,dscalera4c@theatlantic.com,201.96.137.155,1578373
158,Photofeed,crebbeck4d@bluehost.com,172.5.89.198,827044
159,Aimbo,abattill4e@msn.com,89.221.111.113,2284387
160,Trupe,llewty4f@bbc.co.uk,228.240.109.210,3400168
161,Katz,dchamney4g@sciencedaily.com,91.232.199.65,4441026
162,Mycat,jdeluca4h@chronoengine.com,87.66.176.168,2154228
163,Mita,gwalewicz4i@cisco.com,134.90.104.72,3397613
164,Reallinks,smillard4j@elpais.com,244.11.244.214,2231580
165,Rhyzio,cpalumbo4k@imgur.com,15.209.53.41,1128384
166,Jaxnation,lroncelli4l@dyndns.org,169.33.162.87,4598933
167,Flashpoint,hllop4m@stumbleupon.com,70.156.31.166,369686
168,Zooveo,hdockray4n@dedecms.com,113.134.105.100,2433970
169,Divavu,klahrs4o@nps.gov,164.93.98.124,2222153
170,Meembee,vhaldenby4p@hc360.com,255.0.90.107,773350
171,Skippad,kmardy4q@twitpic.com,251.24.174.10,1532281
172,Bubbletube,llamar4r@github.io,0.60.122.217,2972934
173,Youtags,kborg4s@lycos.com,141.46.24.40,1534107
174,Cogibox,jedds4t@elegantthemes.com,199.113.157.236,3332332
175,Twinder,sstuddard4u@independent.co.uk,202.233.239.20,2039027
176,Midel,bdelias4v@vistaprint.com,201.175.222.172,1219582
177,Thoughtblab,gmioni4w@smugmug.com,216.250.165.236,2081021
178,Yambee,kbortolotti4x@free.fr,213.232.162.118,965901
179,Brainverse,rtoretta4y@prlog.org,255.230.105.131,2842517
180,Realblab,eparzis4z@privacy.gov.au,42.135.253.230,2170549
181,Twimbo,kjullian50@chronoengine.com,244.1.222.64,6055250
182,Kwimbee,avittel51@narod.ru,255.194.221.168,2645415
183,Zoomcast,kmoney52@unc.edu,252.25.21.127,3868404
184,Meezzy,mmemmory53@hatena.ne.jp,230.96.88.149,2673894
185,Thoughtsphere,jsnelgrove54@cafepress.com,160.132.7.73,1237113
186,Devshare,lrodda55@parallels.com,159.73.227.202,2265840
187,Youtags,fmarrian56@163.com,141.145.209.192,2946920
188,Rhynyx,bbrotherheed57@washington.edu,68.183.112.94,4595431
189,Oodoo,mllop58@rediff.com,87.31.249.18,4798175
190,Blogtags,kvasilchikov59@timesonline.co.uk,112.157.57.123,2014089
191,Twinte,egrgic5a@howstuffworks.com,195.28.65.3,1326819
192,Twinder,kcroal5b@kickstarter.com,200.205.127.123,497560
193,Shufflester,ycairns5c@paginegialle.it,163.56.138.177,5098901
194,Eimbee,adignum5d@wikipedia.org,43.15.13.125,1809512
195,Zoombox,mguittet5e@addthis.com,85.109.147.214,325073
196,Oodoo,bwildash5f@dailymail.co.uk,209.86.224.70,1912404
197,Oyondu,sburhill5g@globo.com,105.135.179.125,3142359
198,Kazu,rkunkel5h@github.io,133.181.152.94,23254
199,Realbuzz,sgueny5i@shareasale.com,35.125.133.182,1960427
200,Devpoint,vdingate5j@barnesandnoble.com,246.134.112.138,3141715
