accountid,customer,date_opened,interest_rate,last_transaction_date,transaction_amount
8412830849,85,7/25/2004,3.23,3/6/2021,375.51
6466643901,58,4/23/2003,2.96,11/19/2018,1906.64
2759645858,178,6/14/2012,1.58,12/1/2014,9164.9
4740862534,197,9/24/2013,3.77,11/26/2000,4714.47
6302520909,37,7/21/2003,3.19,2/26/2020,6939.58
2627460289,25,4/5/2011,6.69,8/10/2008,3540.9
1289712360,180,9/7/2001,5.28,4/25/2010,8662
7763350386,57,3/17/2019,2.36,9/6/2013,3604.24
2253609737,65,5/12/2010,8.69,7/11/2006,8647.09
9654147351,62,7/4/2005,0.36,8/17/2019,8549.19
7219805997,139,11/6/2016,2.14,9/1/2009,2767.08
6855225495,19,3/6/2007,9.88,6/11/2012,3681.03
6211047474,125,6/26/2002,8.55,8/16/2020,2198.9
6014695191,149,5/9/2015,7.96,1/5/2011,9670.27
6488227734,121,4/21/2010,4.1,4/25/2005,1541.1
9846968988,167,4/12/2020,9.17,12/30/2019,2462.87
8667408177,159,12/15/2002,2.2,12/8/2009,3338.24
9367090460,1,10/7/2020,2.16,5/24/2014,477.9
8904214112,194,7/13/2004,2.59,1/22/2002,45.97
1449507150,42,2/8/2012,5.62,5/9/2000,5789.18
2707557839,156,1/22/2012,3.89,10/13/2009,3435.85
2328164864,14,2/8/2014,4.55,3/17/2021,3184.19
3379055688,193,2/27/2003,0.69,9/14/2008,1806.79
9050174083,63,10/1/2020,8.27,2/4/2011,8139.34
5315568942,199,7/6/2007,8.43,8/25/2014,2486.51
8282571841,170,3/16/2006,9.82,8/31/2007,3186.47
9211894018,189,11/25/2012,2.06,1/19/2020,3817
7712393291,153,12/4/2012,6.61,7/15/2021,4662.48
8958436670,139,6/6/2013,0.3,1/4/2018,2829.87
4159016620,136,10/10/2008,5.66,2/25/2007,6415.94
1172374935,88,3/3/2022,5.88,11/12/2002,4751.48
8840464952,43,2/7/2003,7.67,10/10/2020,193.45
8952283370,4,4/21/2018,8.5,4/18/2006,4686.96
1607091991,12,9/18/2004,9.81,5/14/2019,3566.52
6412238347,130,1/28/2015,7.62,7/25/2000,9670.39
3245242259,143,11/20/2010,0.21,4/25/2005,7235.6
2000062963,196,5/2/2014,5.17,5/5/2007,7975.52
7869880448,40,6/16/2007,3.36,7/15/2018,6575.51
1402268232,147,9/10/2007,9.66,8/24/2019,3721.85
5765376642,32,2/24/2012,0.46,4/2/2001,6714.6
4275918080,123,3/1/2018,8.3,9/24/2015,5354.24
1727176662,95,6/29/2018,9.46,6/2/2018,1937.83
2833419693,154,8/16/2011,3.73,11/7/2005,7461.56
7411995080,42,1/2/2009,8.67,2/2/2010,402.12
2286227954,176,4/20/2014,6.36,1/19/2001,1174.17
9114454574,75,1/2/2008,4.4,6/11/2021,6938.4
6414569123,97,11/6/2002,3.63,8/21/2002,877.54
9290843933,32,1/24/2017,8.34,2/13/2013,6890.62
2282667910,110,2/27/2012,0.67,12/4/2011,4994.62
7099769624,12,3/11/2011,8.74,1/16/2017,4916.28
1597236854,122,6/28/2002,4.5,2/1/2010,9760.73
6580159332,20,6/8/2000,0.16,1/23/2016,5949.76
9104952166,48,6/30/2018,8.58,3/19/2013,1580.86
4446972648,31,10/21/2003,2.23,7/30/2009,3076.44
3656619749,1,3/3/2019,8.58,8/22/2012,9176.89
5345311571,105,8/17/2002,2.96,8/11/2022,1170.85
4361620449,94,8/2/2002,0.01,3/17/2020,5264.35
9853483834,22,7/18/2017,6.98,7/13/2011,5586.87
6893513317,173,2/4/2010,1.51,10/6/2011,1713.08
4371166927,124,1/13/2011,7.8,2/12/2002,1070.71
7876395332,195,12/2/2002,6.17,12/27/2013,4506.33
6351673745,125,12/16/2019,9.74,10/15/2018,7504.15
1989941199,180,12/28/2001,6.35,7/7/2010,4173.23
1876836408,33,1/18/2000,6.61,7/14/2018,8678.21
5865506537,118,11/10/2001,5.83,6/1/2018,7464.65
9950799019,117,3/6/2017,8.88,5/4/2018,7718.29
7929412442,104,8/7/2001,7.23,4/2/2017,2197.36
4967553539,5,7/7/2010,0.19,5/16/2022,6156.58
2016401211,25,10/24/2006,7.77,9/6/2000,4792.47
4545464806,85,12/6/2013,9.49,10/13/2004,8262.88
5397750927,76,12/21/2004,4.68,2/4/2012,9649.54
7215546709,71,12/30/2013,4.16,2/24/2002,5862.62
4298429508,184,2/5/2015,3.48,6/13/2005,5283.4
2509121236,193,10/13/2020,4.91,12/5/2015,8801.01
1493139913,103,10/15/2001,7.53,5/12/2003,7253.98
4181422558,114,9/26/2006,1.2,4/20/2012,146.51
3557673470,139,5/9/2010,0.53,8/23/2018,7610.61
6875003521,132,5/18/2017,4.94,6/14/2017,4038.66
7521906692,103,1/27/2016,2.88,8/10/2000,1184.48
5550775032,12,10/7/2000,9.03,5/16/2004,7420.71
8353555184,177,5/5/2021,0.45,8/8/2009,1253.03
2255159318,133,8/26/2000,7.81,7/18/2011,1874.36
5779717570,31,12/12/2006,4.8,9/2/2004,5843.19
2344529451,181,12/14/2000,4.1,4/27/2022,6912.4
3527648057,5,10/29/2013,5.77,9/17/2004,2184.22
2806936855,26,8/9/2006,9.29,11/29/2013,8752.84
9565861586,108,6/10/2021,8.89,2/11/2012,8910.83
3054137968,119,4/14/2005,2.39,9/16/2016,9927.34
9061955176,153,5/23/2019,7.15,10/5/2009,7605.33
5001424241,138,1/21/2019,6.78,8/16/2003,7325.07
2053359831,153,4/19/2021,7.08,7/2/2001,9825.67
1867132180,38,11/10/2004,7.65,8/30/2012,2661.03
6925051229,4,3/1/2003,2.51,12/3/2022,3491.05
1735375407,131,9/7/2012,6.18,1/1/2013,1408.52
8782654257,46,1/15/2004,3.05,9/26/2014,7001.39
8521448111,140,4/30/2009,0.03,2/16/2021,5096.44
6647667461,24,12/26/2001,8.56,3/19/2006,8869.49
9070911559,189,9/28/2022,5.21,1/2/2015,4105.52
3090532371,2,12/6/2001,4.26,12/27/2022,2044.7
9341214052,143,2/21/2011,6.08,1/19/2005,7190.06
7976714306,2,7/1/2009,6.74,9/27/2004,3883.28
5175993834,164,3/14/2006,1.69,11/22/2002,4071.62
9108956316,41,2/1/2011,4.67,7/29/2000,5314.84
9631783339,89,11/23/2012,5.4,6/5/2004,2806.05
8565940705,191,12/17/2019,3.29,12/3/2003,4537.29
1843743454,95,10/9/2014,4.62,12/30/2022,3924.64
5074892580,72,12/18/2012,5.62,1/1/2011,7685.78
8079333046,187,1/5/2011,3.65,9/25/2005,420.7
4181119957,103,2/24/2009,7.82,11/29/2013,8427.04
8632630070,198,1/23/2011,9.3,3/25/2001,7500.25
2097174652,143,8/7/2011,5.92,10/20/2019,8557.11
8804270370,60,10/17/2002,0.1,4/17/2014,6066.52
1965281608,109,7/11/2007,4.68,2/19/2001,9286.47
2150752352,140,2/8/2022,5.11,5/16/2013,9704.27
7484787672,8,5/16/2019,9.72,1/14/2018,111.15
6002367696,164,1/31/2008,5.31,1/11/2004,2851.56
3241561235,27,7/15/2006,5.91,5/11/2021,3645.35
6932628699,196,11/4/2002,4.29,9/20/2000,9206.55
7671466626,52,12/28/2021,1.6,8/6/2013,7024.19
2316707154,132,1/3/2004,7.22,9/1/2017,4646.41
2116980291,29,4/12/2009,0.44,3/22/2014,8256.76
4518799156,122,5/6/2017,0.32,1/3/2010,6479
9428213209,140,3/14/2011,4.77,12/15/2006,978.64
1495855256,63,6/25/2000,2.44,1/2/2018,9736.57
5980231764,80,9/27/2010,2.4,5/29/2016,2400.4
5297575554,15,8/19/2013,5.64,1/24/2010,7398.14
9421103514,35,5/8/2020,4.93,8/23/2017,4824.14
5825172525,102,6/9/2002,2.01,2/6/2012,2088.66
1979498038,128,6/13/2016,0.76,3/29/2019,9386.44
8610878391,188,8/28/2006,2.8,6/26/2000,9166.21
5387870582,45,6/19/2016,0.94,3/26/2018,366.71
2210826659,114,7/28/2001,6.41,1/5/2007,5123.14
4073741558,35,4/7/2006,4.7,10/27/2008,9856.9
7221693230,19,6/27/2005,7.31,6/13/2009,5822.52
1176968807,4,5/6/2016,9.38,8/9/2016,1358.83
7995725118,158,11/6/2019,2.47,1/27/2013,4895.56
5671473485,47,5/26/2005,0.98,12/25/2004,26.52
1508911857,5,4/30/2013,6.38,5/10/2004,2741.38
9470971861,68,3/3/2001,2.64,11/15/2003,3443.31
7524755402,75,3/3/2008,8.24,8/23/2014,9256.8
3610464419,159,10/5/2012,7.28,8/2/2002,572.21
2454079180,124,2/9/2004,7.85,5/3/2014,6763.8
2976415257,117,1/3/2005,5.36,1/1/2016,2255.26
3911613613,24,11/2/2012,5.77,4/7/2013,1454.52
2144420377,60,10/6/2001,0.94,12/30/2017,641.35
1816173477,137,8/6/2014,2.55,4/25/2001,3936.91
7184797883,28,2/6/2002,4.77,4/23/2020,600.35
4561792980,144,9/4/2022,3.49,2/19/2015,1664.91
4189325847,5,3/8/2019,5.87,3/23/2006,4453.2
2645949754,134,10/29/2006,0.63,11/16/2012,4171.63
5723119398,15,10/17/2000,6.77,4/10/2005,8659.3
5536088202,181,10/21/2010,0.08,10/30/2017,2134.86
9181265017,77,8/2/2005,6.67,7/22/2009,4205.24
9258176525,38,7/5/2003,4.22,12/11/2015,2313.63
5393119299,92,8/14/2015,4.89,12/13/2022,9685.21
3522672336,32,11/2/2003,4.8,7/7/2002,9629.94
2314893406,61,3/24/2018,9.53,11/20/2017,9720.26
5109295493,163,12/18/2022,9.7,11/29/2021,3602.59
3722211670,148,7/25/2014,3.27,1/16/2011,6243.81
1490547568,68,8/15/2004,3.08,2/27/2009,3342.6
6361204166,23,9/3/2009,7.46,6/13/2008,1335.29
7108927765,145,9/6/2019,5.76,2/25/2004,2472.25
3756666927,110,11/30/2021,1.96,7/5/2003,3193.8
5158184166,200,9/18/2002,6.9,7/27/2022,93.81
8445333210,140,3/24/2019,7.8,10/16/2003,3657.56
9490549223,138,2/7/2010,6.38,12/30/2007,5973.15
8504282361,27,2/15/2006,9.38,7/12/2011,9813.81
3651336086,161,12/25/2009,7.93,4/25/2021,7065.29
4726672514,193,8/9/2004,9.96,2/28/2008,5224.55
2686501953,34,8/4/2002,6.62,10/7/2006,8564.65
9934306123,113,8/23/2009,6.54,8/14/2006,4676.12
7770758517,29,1/18/2017,2.99,2/16/2013,3775.48
4851825858,85,3/6/2005,6.1,1/7/2016,6254.23
9710381101,78,10/30/2017,4.65,5/30/2004,7318.4
2730549499,146,11/23/2014,8.96,4/29/2021,4188.12
9757663868,132,2/19/2022,3.81,7/5/2008,8366.28
8251044650,156,4/20/2013,1.12,3/24/2014,8526.69
8938933489,132,11/24/2009,6.27,8/1/2005,4026.66
1014275632,138,3/9/2007,9.14,10/30/2002,9693.78
5038063513,127,2/12/2020,7.65,3/27/2002,2004.3
4183782639,69,5/20/2016,2.08,10/22/2010,3890.27
6711429988,18,3/20/2012,5.83,4/3/2003,5974.06
6701615329,124,12/4/2022,2.57,1/13/2001,6122.33
5940277408,111,8/24/2004,7.01,3/13/2002,1246.44
5632192901,29,1/6/2000,4.05,3/4/2021,75.09
6614222037,72,3/4/2021,7.23,9/22/2003,8405.46
8526568276,71,3/1/2012,3.99,8/18/2004,5255.4
8199153075,72,12/1/2017,1.34,9/28/2001,8322.02
8334574240,89,7/31/2009,7.36,8/22/2021,9607.42
3998896432,33,5/20/2009,4.1,5/22/2021,7528.98
8140910078,9,9/16/2017,1.01,12/4/2012,5101.78
6791529609,166,3/1/2001,1.62,2/14/2011,434.25
6573375718,117,1/7/2005,1.37,8/16/2002,505.14
9967509057,136,5/23/2013,8.68,3/9/2015,4127.3
4410355824,118,3/26/2005,7.46,3/19/2022,6919.79
1199613721,193,8/13/2001,9.56,10/13/2004,4968.36
7143785584,182,5/30/2012,8.95,6/15/2004,3674.99
8678431010,14,2/27/2021,8.49,6/17/2010,3164.49
6492874612,131,6/17/2001,3.19,3/21/2000,3378.43
7245749564,187,6/8/2020,0.57,7/17/2002,9461.21
4542284427,161,1/19/2009,8.43,9/22/2018,6638.94
3606739565,181,8/14/2009,3.71,5/30/2014,748.54
5850020624,1,10/26/2019,9.93,1/19/2009,8360.8
4692338625,80,10/30/2022,1.56,8/20/2007,9872.68
7774310202,168,7/25/2007,6.82,9/10/2012,9594.2
8009143202,150,10/2/2004,8.06,2/13/2008,8445.89
9309719357,70,6/14/2022,7.8,3/3/2019,9241.31
1809702642,11,7/12/2022,2.88,8/5/2016,4083.14
2787672352,57,10/17/2020,6.1,1/3/2009,5709.54
6694655389,189,1/3/2012,7.63,1/15/2017,7122.54
6549588011,106,4/17/2022,8.28,5/21/2010,7444.55
1118922136,128,8/5/2019,3.67,5/29/2009,5166.15
6749113879,166,4/11/2000,5.11,11/22/2021,3643.63
1333148315,86,12/15/2002,0.3,7/7/2001,3115.87
2895065436,72,5/3/2013,2.44,4/30/2020,4800.61
3974180513,197,12/28/2019,4.82,8/19/2008,9526.93
1451878957,171,7/8/2011,4.32,6/29/2017,4997.09
6492923445,199,7/29/2016,4.26,12/4/2020,5822.24
4505089796,195,4/9/2005,9.86,5/31/2012,4588.91
4514845493,155,2/25/2007,2.29,8/16/2021,2097.37
3554042476,6,12/22/2009,5.4,4/30/2018,4602.2
9406994253,113,12/26/2013,3.37,8/28/2006,8141.98
9033905835,114,9/21/2016,6.53,7/31/2021,4181.38
3717180324,113,4/18/2015,8.24,2/20/2020,4228.11
5324970364,144,5/14/2021,3.15,2/9/2016,634.74
1492753726,103,3/4/2011,0.08,5/17/2011,4473.32
6921165720,70,6/18/2004,9.65,12/11/2011,97.89
9576850416,11,9/20/2002,7.74,12/12/2007,4562.66
8930399634,48,8/17/2001,6.98,4/11/2002,3913.12
9013180107,108,11/1/2004,2.77,5/3/2002,7607.63
1372929543,5,5/16/2016,5.04,9/10/2006,3795.74
1385669210,58,4/24/2010,2.4,6/12/2014,7391.03
5742482739,97,12/16/2010,0.92,9/15/2013,3138.84
8005718255,120,11/22/2005,5.48,12/17/2016,9402.82
5574450741,145,12/23/2013,3.87,8/22/2016,5330.28
9154914374,153,8/7/2011,8.52,1/22/2021,4600.19
1409188293,199,1/25/2010,6.8,11/16/2012,9066.68
2941465809,136,11/28/2013,5.42,11/14/2005,23.39
4318003646,141,3/10/2010,5.58,11/15/2012,2710.63
6430036362,116,7/8/2021,2.95,7/12/2014,5973.32
6869162318,41,8/29/2006,4.05,10/12/2001,8198.18
7831607791,179,3/13/2018,6.18,9/10/2022,9696.8
2728083252,132,11/13/2000,4.01,8/9/2001,94.81
1371348506,9,7/8/2005,3.3,2/5/2012,9103.87
3238813310,42,8/23/2001,8.76,3/30/2011,5612.74
7444585632,75,8/26/2010,7.28,1/26/2000,1612.67
5130973975,188,3/15/2009,7.54,7/5/2004,7118.68
6028453950,159,2/26/2012,3.94,5/1/2020,1396.97
9841640866,13,12/21/2008,0.32,10/15/2021,9290.24
8945784748,119,11/15/2012,5.47,9/28/2019,528.08
6579419722,193,1/16/2002,1.42,3/13/2000,7521.43
4734061302,145,4/18/2020,6.96,6/15/2016,7889.62
5516948324,180,5/22/2019,3.25,1/11/2014,6586.9
2557080885,24,8/31/2009,9.43,12/27/2016,6906.33
1096538942,4,1/25/2012,5.2,9/4/2004,2207.51
6958525087,82,10/30/2016,0.64,11/17/2018,3024.28
8721562939,131,1/4/2022,2.11,6/5/2001,6096.36
1262652143,74,3/12/2001,2.03,9/17/2009,2830.29
9263341155,9,9/28/2006,0.11,11/28/2017,4833.14
9687053624,49,4/7/2007,0.08,10/6/2000,9586.75
6267018382,121,9/7/2017,8.91,12/23/2009,4722.6
4412068289,160,1/23/2001,5.19,10/26/2008,5310.19
3322277098,105,9/10/2009,7.69,12/13/2010,214.36
1153104184,127,11/9/2009,1.86,12/18/2013,3516.08
5448536346,100,2/14/2013,6.14,5/16/2008,146.97
1016885001,137,5/14/2007,8.76,11/25/2011,4415.4
1077446009,103,10/2/2005,4.72,12/2/2000,7623.26
6913123161,104,9/5/2017,4.48,5/24/2006,5084.03
5260148271,171,1/15/2018,1.41,2/24/2004,4769.88
5880622503,131,8/25/2013,3.46,4/2/2005,236.02
8145534558,105,3/11/2016,1.85,7/17/2006,4381.86
7319524548,67,7/27/2009,9.28,3/14/2006,5491.36
7828008068,105,4/14/2014,6.26,9/1/2015,5744.98
6765343938,23,2/18/2001,0.95,2/13/2017,624.08
3198441458,141,1/31/2001,0.18,7/21/2015,6339.92
8667053881,38,1/30/2010,7.14,7/11/2013,529.69
4438031879,188,7/20/2015,5.76,9/22/2010,9956.95
9900850519,182,12/12/2016,3.25,7/4/2022,9364.23
6065094998,56,9/25/2022,1.22,12/13/2017,9831.4
3064705414,62,7/4/2005,5.2,3/19/2005,4325.15
1263382956,161,10/20/2021,4.46,11/19/2012,9263.95
8993259349,16,6/8/2019,9.98,10/27/2001,380.17
1302803574,45,7/22/2005,6.42,2/23/2000,1826.57
4768298251,144,5/27/2011,9.27,6/10/2017,2640.05
9352014489,33,12/4/2004,2.17,3/17/2014,2934.68
6001772620,25,12/12/2014,8.38,1/11/2018,4958.31
6762922346,2,12/15/2018,5.69,7/16/2005,1151.41
7667187634,56,9/14/2001,3.81,12/22/2007,1907.96
5825806173,194,10/6/2016,3.51,12/8/2008,159.35
1849112675,58,11/16/2018,3.16,12/12/2014,3314.47
2914466869,14,8/10/2011,8.54,5/22/2004,5825.22
4264894751,89,7/9/2014,7.57,9/6/2017,1149.05
5590037246,161,8/1/2019,0.99,2/9/2002,6001.64
5664734102,189,2/26/2012,2.96,2/20/2022,1235.12
4930089371,113,4/8/2001,5.69,12/22/2018,3807.57
6769829661,9,7/21/2022,5.41,8/2/2002,864.79
2164053045,200,3/31/2004,2.91,7/29/2005,1842.75
3281005474,21,8/23/2020,2.68,7/27/2004,9882.3
2930073390,154,11/30/2004,1.91,12/12/2009,4568.36
9328420526,62,9/6/2019,9.79,12/5/2008,8228.09
7475402434,181,10/6/2006,2.19,8/16/2009,1055.46
2032923086,188,6/18/2012,1.35,2/11/2021,3509.84
2347003881,25,9/28/2014,9.74,11/6/2002,4282.41
4398017920,17,4/28/2005,0.86,9/15/2000,2353.03
5777563816,170,9/4/2013,2.85,6/3/2008,2366.04
8512063183,2,10/10/2001,7.87,8/7/2018,3194.97
2370272430,97,7/12/2018,1.17,4/21/2016,9294.06
2005565192,150,12/6/2003,5.53,9/28/2015,4236.91
3221017936,185,2/14/2007,9.91,12/23/2013,2967.58
1412839306,156,5/29/2011,0.02,5/5/2020,5403.87
7370148974,63,7/9/2021,1.36,4/5/2012,7178.79
9478878823,159,4/26/2019,2.53,7/23/2006,2373.43
2053503963,117,8/28/2002,7.47,7/14/2005,9537.54
7582376836,150,7/8/2016,4.81,3/7/2001,443.64
4092562160,151,7/20/2005,5.59,10/10/2012,7247.9
5476007901,113,9/2/2007,3.5,1/28/2013,7136.86
2727014967,174,4/23/2019,1.72,3/28/2000,7841.6
5191781160,61,12/21/2016,0.24,11/13/2021,8668.63
6148550638,50,2/13/2003,3.48,10/18/2016,2579.53
9535862161,92,4/10/2011,0.82,10/16/2015,217.75
1634895571,114,7/13/2005,0.56,4/20/2016,6032.55
